code,site_name,latitude,longitude
AFETR,"Air Force Eastern Test Range, Florida, USA",28.4889,-80.5778
AFWTR,"Air Force Western Test Range, California, USA",34.742,-120.5724
ANDSP,"Andøya Spaceport, Nordland, Norway",69.294,16.021
ALCLC,"Alcântara Launch Center, Maranhão, Brazil",2.3731,-44.3964
BOS,"Bowen Orbital Spaceport, Queensland, Australia",-20.016,148.247
CAS,Canaries Airspace,,
DLS,"Dombarovskiy Launch Site, Russia",51.093,59.842
ERAS,Eastern Range Airspace,,
FRGUI,"Europe's Spaceport, Kourou, French Guiana",5.239,-52.768
HGSTR,"Hammaguir Space Track Range, Algeria",30.778,-3.053
JJSLA,"Jeju Island Sea Launch Area, Republic of Korea",33.2,126.2
JSC,"Jiuquan Space Center, PRC",40.9606,100.2983
KODAK,"Kodiak Launch Complex, Alaska, USA",57.4353,-152.3393
KSCUT,"Uchinoura Space Center (formerly Kagoshima Space Center—University of Tokyo, Japan)",31.251,131.08
KWAJ,US Army Kwajalein Atoll (USAKA),9.048,167.743
KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.573,45.746
NSC,"Naro Space Complex, Republic of Korea",34.4319,127.5351
PLMSC,"Plesetsk Missile and Space Complex, Russia",62.9256,40.5779
RLLB,"Rocket Lab Launch Base, Mahia Peninsula, New Zealand",-39.2615,177.8649
SCSLA,"South China Sea Launch Area, PRC",,
SEAL,Sea Launch Platform (mobile),,
SEMLS,"Semnan Satellite Launch Site, Iran",35.2346,53.9209
SMTS,"Shahrud Missile Test Site, Iran",36.191,55.327
SNMLP,"San Marco Launch Platform, Indian Ocean (Kenya)",-2.938,40.213
SPKII,"Space Port Kii, Japan",33.449,135.775
SRILR,"Satish Dhawan Space Centre, India (formerly Sriharikota Launching Range)",13.7199,80.2304
SUBL,Submarine Launch Platform (mobile),,
SVOBO,"Svobodny Launch Complex, Russia",51.88,128.333
TAISC,"Taiyuan Space Center, PRC",38.849,111.608
TANSC,"Tanegashima Space Center, Japan",30.4,130.968
TYMSC,"Tyuratam Missile and Space Center, Kazakhstan (also known as Baikonur Cosmodrome)",45.9647,63.305
UNK,Unknown,,
VOSTO,"Vostochny Cosmodrome, Russia",51.884,128.333
WLPIS,"Wallops Island, Virginia, USA",37.9402,-75.4664
WOMRA,"Woomera, Australia",-31.144,136.817
WRAS,Western Range Airspace,,
WSC,"Wenchang Satellite Launch Site, PRC",19.614,110.951
XICLF,"Xichang Launch Facility, PRC",28.247,102.029
YAVNE,"Yavne Launch Facility, Israel",31.884,34.68
YSLA,"Yellow Sea Launch Area, PRC",,
YUN,"Yunsong Launch Site (Sohae Satellite Launching Station), Democratic People's Republic of Korea (North Korea)",39.6602,124.705
